Designator,Mid X,Mid Y,Rotation,Layer
C1,5.5,-19.6,225.0,top
C2,-5.912652,21.487348,225.0,top
C3,-29.4,28.0,0.0,top
C4,20.9,28.2,0.0,top
C5,-30.5,-21.1375,90.0,top
C6,17.5,-24.1,180.0,top
D1,-23.0,25.0,180.0,top
D2,27.0,25.0,180.0,top
D3,-23.0,-25.0,180.0,top
D4,27.0,-25.0,180.0,top
J1,-21.925,0.015000000000000568,270.0,top
J2,22.0,-0.015000000000000568,90.0,top
J3,-0.004999999999999893,19.425,180.0,top
J4,0.004999999999999893,-19.425,0.0,top
R1,-29.4,22.0,0.0,top
R2,17.3,25.9,180.0,top
R3,-28.7,-28.0,180.0,top
R4,17.5,-26.7,0.0,top
U1,-28.4375,25.0,180.0,top
U2,21.5625,25.0,180.0,top
U3,-28.4375,-25.0,180.0,top
U4,21.5625,-25.0,180.0,top
U5,-11.962741,22.837437,225.0,top
U6,13.4,-17.7,45.0,top
